ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
65	279	0	0	0.000000	2.157706	2.157706	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
66	100	0	0	0.000000	3.180000	3.180000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
67	210	0	0	0.000000	1.990476	1.990476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
68	756	0	0	0.000000	2.567460	2.567460	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
69	131	0	0	0.000000	2.854962	2.854962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
70	297	0	0	0.000000	2.313131	2.313131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
71	290	0	0	0.000000	1.803448	1.803448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
72	238	0	0	0.000000	1.882353	1.882353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
73	357	0	0	0.000000	2.067227	2.067227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
74	356	0	0	0.000000	1.707865	1.707865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
75	19	1	1	0.000000	2.947368	2.947368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
76	24	2	2	0.000000	5.166667	5.083333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
77	86	0	0	0.000000	1.883721	1.883721	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
78	54	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
79	358	0	0	0.000000	1.888268	1.888268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
80	248	0	0	0.000000	1.342742	1.342742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
81	162	0	2	0.000000	1.790123	1.790123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
82	129	0	0	0.000000	1.666667	1.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
83	115	0	0	0.000000	1.408696	1.408696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
84	206	0	0	0.000000	1.868932	1.868932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
85	234	0	0	0.000000	2.175214	2.175214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
86	273	0	0	0.000000	1.095238	1.095238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
87	247	0	0	0.000000	2.384615	2.384615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
88	435	0	0	0.000000	2.075862	2.075862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
